,SUPPORTS_precision,SUPPORTS_recall,SUPPORTS_f1-score,SUPPORTS_support,NOT ENOUGH INFO_precision,NOT ENOUGH INFO_recall,NOT ENOUGH INFO_f1-score,NOT ENOUGH INFO_support,REFUTES_precision,REFUTES_recall,REFUTES_f1-score,REFUTES_support,fullname,model,dataset,trained_on
1,0.41512583461736,0.96999699969997,0.5814225339447892,3333,0.8656036446469249,0.45604560456045606,0.5973668697190019,3333,0.7054945054945055,0.0963096309630963,0.16948257655755014,3333,climatefeverpure-bert-base-uncased.test,bert,fever,climatefeverpure-
5,0.3451968503937008,0.6576657665766577,0.45275224620468857,3333,0.4143598615916955,0.14371437143714372,0.21341055914457563,3333,0.32330525471319693,0.24182418241824183,0.2766906968760728,3333,climatefeverpure-da.test,da,fever,climatefeverpure-
3,0.3902377972465582,0.9354935493549354,0.5507374370749801,3333,0.13548387096774195,0.012601260126012601,0.02305791929728246,3333,0.6968805179517363,0.3552355235523552,0.47058823529411764,3333,climatefeverpure-xlnet-base-cased.test,xlnet,fever,climatefeverpure-
4,0.882336578581363,0.9516951695169517,0.915704387990762,3333,0.9961066187481282,0.9978997899789979,0.9970023980815348,3333,0.9481239804241436,0.8718871887188719,0.9084088777743045,3333,fever-bert-base-uncased.test,bert,fever,fever-
2,0.5286472634083836,0.8664866486648665,0.6566621191450659,3333,0.7958589453251375,0.738073807380738,0.7658779576587795,3333,0.8865051903114187,0.38433843384338434,0.5362076182503139,3333,fever-da.test,da,fever,fever-
8,0.8885163453478625,0.9540954095409541,0.9201388888888888,3333,0.9978915662650603,0.993999399939994,0.9959416804449119,3333,0.95,0.8835883588358836,0.915591481423908,3333,fever-xlnet-base-cased.test,xlnet,fever,fever-
7,0.8776243093922652,0.9531953195319532,0.9138501366316698,3333,0.9969978985289702,0.9963996399639964,0.9966986794717887,3333,0.9488188976377953,0.8676867686768677,0.9064409967089799,3333,fever-climatefeverpure-bert-base-uncased.test,bert,fever,fever-climatefeverpure
0,0.5758045754168283,0.8910891089108911,0.6995642444941704,3333,0.8892927957699934,0.8073807380738074,0.8463594904859254,3333,0.8429752066115702,0.459045904590459,0.5944055944055944,3333,fever-climatefeverpure-da.test,da,fever,fever-climatefeverpure
6,0.8891673628515734,0.957995799579958,0.9222992489890236,3333,0.9987937273823885,0.9936993699369937,0.9962400360956535,3333,0.9527813712807245,0.8838883888388839,0.9170428015564203,3333,fever-climatefeverpure-xlnet-base-cased.test,xlnet,fever,fever-climatefeverpure
1,0.7313432835820896,0.7538461538461538,0.7424242424242424,65,0.8148148148148148,0.9361702127659575,0.8712871287128713,47,0.5625,0.36,0.43902439024390244,25,climatefeverpure-bert-base-uncased.test,bert,climatefeverpure,climatefeverpure-
5,0.6493506493506493,0.7692307692307693,0.7042253521126761,65,0.782608695652174,0.7659574468085106,0.7741935483870968,47,0.2857142857142857,0.16,0.20512820512820512,25,climatefeverpure-da.test,da,climatefeverpure,climatefeverpure-
3,0.8064516129032258,0.7692307692307693,0.7874015748031495,65,0.9019607843137255,0.9787234042553191,0.9387755102040817,47,0.5833333333333334,0.56,0.5714285714285714,25,climatefeverpure-xlnet-base-cased.test,xlnet,climatefeverpure,climatefeverpure-
4,0.5714285714285714,0.7384615384615385,0.6442953020134228,65,0.6,0.1276595744680851,0.21052631578947367,47,0.20930232558139536,0.36,0.2647058823529412,25,fever-bert-base-uncased.test,bert,climatefeverpure,fever-
2,0.5517241379310345,0.7384615384615385,0.631578947368421,65,0.5,0.2978723404255319,0.3733333333333333,47,0.3181818181818182,0.28,0.29787234042553196,25,fever-da.test,da,climatefeverpure,fever-
8,0.6309523809523809,0.8153846153846154,0.7114093959731543,65,0.6428571428571429,0.19148936170212766,0.29508196721311475,47,0.3076923076923077,0.48,0.37500000000000006,25,fever-xlnet-base-cased.test,xlnet,climatefeverpure,fever-
7,0.6621621621621622,0.7538461538461538,0.7050359712230215,65,0.8604651162790697,0.7872340425531915,0.8222222222222222,47,0.4,0.32,0.35555555555555557,25,fever-climatefeverpure-bert-base-uncased.test,bert,climatefeverpure,fever-climatefeverpure
0,0.5633802816901409,0.6153846153846154,0.5882352941176471,65,0.5925925925925926,0.6808510638297872,0.6336633663366336,47,0.25,0.12,0.16216216216216217,25,fever-climatefeverpure-da.test,da,climatefeverpure,fever-climatefeverpure
6,0.7083333333333334,0.7846153846153846,0.7445255474452555,65,0.9117647058823529,0.6595744680851063,0.7654320987654322,47,0.4838709677419355,0.6,0.5357142857142857,25,fever-climatefeverpure-xlnet-base-cased.test,xlnet,climatefeverpure,fever-climatefeverpure
